cc_purchase_txn_id,cc_date,cc_card_last4,amount,merchant_parsed,description,wave_bill_id,wave_row,wave_vendor_category,wave_bill_total
387,2025-05-12,0318,408.58,BELL ALIANT OBM,"BELL ALIANT OBM VERDUN, QC",674,675,BELL,132.68
387,2025-05-12,0318,408.58,BELL ALIANT OBM,"BELL ALIANT OBM VERDUN, QC",691,692,BELL,131.53
387,2025-05-12,0318,408.58,BELL ALIANT OBM,"BELL ALIANT OBM VERDUN, QC",695,696,BELL,3.86
387,2025-05-12,0318,408.58,BELL ALIANT OBM,"BELL ALIANT OBM VERDUN, QC",715,,OTHER,59.97
463,2025-03-24,0318,116.58,SOBEYS #729 AMHERST,"SOBEYS #729 AMHERST, NS",665,666,OTHER,116.58
460,2025-03-24,0318,81.8,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 807 AMHERST, NS",669,670,PHARMASAVE,81.8
1114,2024-04-25,0318,222.59,NOVA SCOTIA ONLINE,"NOVA SCOTIA ONLINE HALIFAX, NS",302,303,GOV_NS,222.59
1123,2024-04-23,0318,41.37,CANADIAN TIRE 33,"CANADIAN TIRE 33 AMHERST, NS",300,301,OTHER,41.37
1140,2024-04-15,0318,152.6,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",294,295,OTHER,152.6
1277,2024-02-13,0318,61.05,REGISTRY OF JOINT,"REGISTRY OF JOINT STOC HALIFAX, NS",201,202,GOV_NS,61.05
1343,2024-01-15,0318,7.38,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 807 AMHERST, NS",167,168,PHARMASAVE,7.38
1360,2024-01-08,0318,312.4,DOLLARAMA # 209,"DOLLARAMA # 209 AMHERST, NS",158,159,DOLLARAMA,312.4
1628,2023-09-18,0318,76.84,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",52,53,OTHER,76.84
1728,2023-08-14,0318,21.69,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 807 AMHERST, NS",27,28,PHARMASAVE,21.69
1727,2023-08-14,0318,24.51,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 807 AMHERST, NS",28,29,PHARMASAVE,24.51
1737,2023-08-10,0318,43.7,WAL-MART ONLINE PHOTO,"WAL-MART ONLINE PHOTO MISSISSAUGA, ON",20,21,WALMART,43.7
1793,2023-07-10,0318,33.19,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 807 AMHERST, NS",14,15,PHARMASAVE,33.19
1865,2023-06-08,0318,21.08,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 807 AMHERST, NS",3,4,PHARMASAVE,21.08
400,2025-04-28,4337,45.59,AMZN MKTP CA*N29772UG2,"AMZN Mktp CA*N29772UG2 WWW.AMAZON.CA, ON",692,693,AMAZON,45.59
551,2025-02-24,4337,282.0,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",626,627,OTHER,282.0
567,2025-02-18,4337,30.0,MOBIL@ - 4174,"MOBIL@ - 4174 AMHERST, NS",609,610,OTHER,30.0
569,2025-02-14,4337,50.7,"SHOPIFY/329781612 OTTAWA, ON","SHOPIFY/329781612 OTTAWA, ON 34.48 USD @ 1.470417",617,618,OTHER,50.7
604,2025-02-04,4337,39.02,CANADIAN TIRE 33,"CANADIAN TIRE 33 AMHERST, NS",598,599,OTHER,39.02
607,2025-02-03,4337,72.22,AMZN MKTP CA*Z782S3NB0,"AMZN Mktp CA*Z782S3NB0 WWW.AMAZON.CA, ON",596,597,AMAZON,72.22
632,2025-01-29,4337,185.03,WAL-MART SUPERCENTER#5789 AMHERST,"WAL-MART SUPERCENTER#5789 AMHERST, NS",592,593,WALMART,185.03
647,2025-01-27,4337,228.83,CHRISTMAS DISCOUNTERS AMHERST,"CHRISTMAS DISCOUNTERS AMHERST, NS",587,588,OTHER,228.83
645,2025-01-27,4337,146.15,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",588,589,OTHER,146.15
643,2025-01-27,4337,16.4,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",591,592,OTHER,16.4
641,2025-01-27,4337,90.9,SOBEYS #729 AMHERST,"SOBEYS #729 AMHERST, NS",590,591,OTHER,90.9
656,2025-01-21,4337,28.0,WAL-MART SUPERCENTER#5789 AMHERST,"WAL-MART SUPERCENTER#5789 AMHERST, NS",582,583,WALMART,28.0
664,2025-01-16,4337,29.21,WAL-MART SUPERCENTER#5789 AMHERST,"WAL-MART SUPERCENTER#5789 AMHERST, NS",570,571,WALMART,29.21
665,2025-01-15,4337,51.07,"SHOPIFY/317975573 OTTAWA, ON","SHOPIFY/317975573 OTTAWA, ON 34.48 USD @ 1.481148",571,572,OTHER,51.07
668,2025-01-13,4337,407.1,DOLLARAMA # 209,"DOLLARAMA # 209 AMHERST, NS",567,568,DOLLARAMA,407.1
728,2024-11-27,4337,64.98,CIRCLE K /,"CIRCLE K / IRVING #QPS208 OXFORD, NS",496,497,OTHER,64.98
732,2024-11-25,4337,30.02,PROXI SACKVILLE SACKVILLE,"PROXI SACKVILLE SACKVILLE, NB",489,490,OTHER,30.02
779,2024-10-28,4337,105.9,AMZN MKTP CA*F305I4VN3,"AMZN Mktp CA*F305I4VN3 WWW.AMAZON.CA, ON",440,441,AMAZON,105.9
808,2024-10-17,4337,32.74,SOBEYS #729 AMHERST,"SOBEYS #729 AMHERST, NS",422,423,OTHER,32.74
879,2024-08-21,4337,101.78,AMZN MKTP CA*R43D70EQ2,"AMZN Mktp CA*R43D70EQ2 WWW.AMAZON.CA, ON",335,336,AMAZON,101.78
1583,2023-10-04,4337,19.54,AMZN MKTP CA*T91TD3Z71,"AMZN Mktp CA*T91TD3Z71 WWW.AMAZON.CA, ON",76,77,AMAZON,19.54
1619,2023-09-20,4337,25.32,AMAZON.CA*TX7I793H1 AMAZON.CA,"Amazon.ca*TX7I793H1 AMAZON.CA, ON",60,61,AMAZON,25.32
1658,2023-09-05,4337,29.95,AMZN MKTP CA*TL6CQ3832,"AMZN Mktp CA*TL6CQ3832 WWW.AMAZON.CA, ON",38,39,AMAZON,29.95
1657,2023-09-05,4337,29.95,AMZN MKTP CA*TL9XJ2V40,"AMZN Mktp CA*TL9XJ2V40 WWW.AMAZON.CA, ON",37,38,AMAZON,29.95
1671,2023-08-31,4337,19.54,AMZN MKTP CA*T345F3R60,"AMZN Mktp CA*T345F3R60 WWW.AMAZON.CA, ON",30,31,AMAZON,19.54
1730,2023-08-14,4337,643.68,MONCTONCASH&CARRY#301 MONCTON,"MONCTONCASH&CARRY#301 MONCTON, NB",26,27,WHOLESALE_CLUB,643.68
1764,2023-08-01,4337,26.44,AMAZON.CA*TH63J5P41 AMAZON.CA,"Amazon.ca*TH63J5P41 AMAZON.CA, ON",17,18,AMAZON,26.44
1806,2023-07-06,4337,794.88,JE HASTINGS LIMITED,"JE HASTINGS LIMITED 506-8568888, NB",10,11,HASTINGS,794.88
2983,2025-03-20,7022,2531.83,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",664,665,COSTCO,2531.83
3003,2025-03-10,7022,1869.91,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",647,648,COSTCO,1869.91
3040,2025-02-26,7022,1958.2,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",629,630,COSTCO,1958.2
3060,2025-02-14,7022,59.97,GO-MART AMHERST,"GO-MART Amherst, NS",618,619,OTHER,59.97
3066,2025-02-13,7022,4391.25,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",613,614,COSTCO,4391.25
3087,2025-02-06,7022,11.69,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",600,601,PHARMASAVE,11.69
3086,2025-02-06,7022,119.04,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",601,602,PHARMASAVE,119.04
3085,2025-02-06,7022,2314.34,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",603,604,COSTCO,2314.34
3112,2025-01-27,7022,36.79,AMZN MKTP CA*ZG7GW1U20,"AMZN Mktp CA*ZG7GW1U20 WWW.AMAZON.CA, ON",586,587,AMAZON,36.79
3128,2025-01-20,7022,293.52,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",578,579,OTHER,293.52
3127,2025-01-20,7022,79.7,DOLLARAMA # 209,"DOLLARAMA # 209 AMHERST, NS",581,582,DOLLARAMA,79.7
3125,2025-01-20,7022,42.18,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",580,581,PHARMASAVE,42.18
3124,2025-01-20,7022,76.91,CANADIAN TIRE 33,"CANADIAN TIRE 33 AMHERST, NS",579,580,OTHER,76.91
3154,2025-01-13,7022,90.08,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",564,565,PHARMASAVE,90.08
3153,2025-01-13,7022,36.0,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",565,566,PHARMASAVE,36.0
3152,2025-01-13,7022,129.29,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",566,567,PHARMASAVE,129.29
3151,2025-01-13,7022,337.47,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",568,569,OTHER,337.47
3150,2025-01-13,7022,14.4,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",569,570,PHARMASAVE,14.4
3159,2025-01-10,7022,642.89,MONCTONCASH&CARRY#301 MONCTON,"MONCTONCASH&CARRY#301 MONCTON, NB",559,560,WHOLESALE_CLUB,642.89
3158,2025-01-10,7022,2415.47,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",558,559,COSTCO,2415.47
3176,2025-01-06,7022,55.86,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",549,550,PHARMASAVE,55.86
3174,2025-01-06,7022,76.84,WAL-MART #5789 AMHERST,"WAL-MART #5789 AMHERST, NS",552,553,WALMART,76.84
3173,2025-01-06,7022,108.4,CANADIAN TIRE 33,"CANADIAN TIRE 33 AMHERST, NS",553,554,OTHER,108.4
3172,2025-01-06,7022,48.16,WAL-MART #5789 AMHERST,"WAL-MART #5789 AMHERST, NS",551,552,WALMART,48.16
3182,2025-01-02,7022,63.95,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",545,546,PHARMASAVE,63.95
3218,2024-12-19,7022,17.24,CANADIAN TIRE 33,"CANADIAN TIRE 33 AMHERST, NS",535,536,OTHER,17.24
3248,2024-12-16,7022,2152.03,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",532,533,COSTCO,2152.03
3237,2024-12-16,7022,83.35,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",533,534,PHARMASAVE,83.35
3251,2024-12-13,7022,30.51,HARRISON'S HOME HARDWA,"HARRISON'S HOME HARDWA UPPER NAPPAN, NS",527,528,OTHER,30.51
3275,2024-12-09,7022,279.81,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",519,520,OTHER,279.81
3290,2024-12-05,7022,283.48,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",511,512,OTHER,283.48
3309,2024-12-02,7022,258.12,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",500,501,OTHER,258.12
3323,2024-11-25,7022,16.78,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",491,492,PHARMASAVE,16.78
3330,2024-11-22,7022,62.88,UPS MONCTON 1545,"UPS MONCTON 1545 DIEPPE, NB",483,484,OTHER,62.88
3341,2024-11-18,7022,89.84,FREIGHTCOM INC. BOLTON,"FREIGHTCOM INC. BOLTON, ON",480,481,OTHER,89.84
3349,2024-11-14,7022,1787.76,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",477,478,COSTCO,1787.76
3347,2024-11-14,7022,1090.96,MONCTONCASH&CARRY#301 MONCTON,"MONCTONCASH&CARRY#301 MONCTON, NB",478,479,WHOLESALE_CLUB,1090.96
3355,2024-11-13,7022,550.87,SP SHOPIFY HARDWARE,"SP SHOPIFY HARDWARE ST OTTAWA, ON",473,474,OTHER,550.87
3357,2024-11-12,7022,279.08,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",469,470,OTHER,279.08
3356,2024-11-12,7022,106.26,CANADIAN TIRE 33,"CANADIAN TIRE 33 AMHERST, NS",470,471,OTHER,106.26
3361,2024-11-08,7022,62.03,CHRISTMAS DISCOUNTERS AMHERST,"CHRISTMAS DISCOUNTERS AMHERST, NS",464,465,OTHER,62.03
3369,2024-11-04,7022,32.23,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",456,457,OTHER,32.23
3374,2024-10-31,7022,1672.89,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",454,455,COSTCO,1672.89
3384,2024-10-28,7022,479.32,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",451,452,COSTCO,479.32
3382,2024-10-28,7022,22.0,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",446,447,PHARMASAVE,22.0
3387,2024-10-25,7022,78.3,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",441,442,OTHER,78.3
3391,2024-10-24,7022,1472.83,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",436,437,COSTCO,1472.83
3402,2024-10-21,7022,294.71,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",427,428,OTHER,294.71
3399,2024-10-21,7022,322.88,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",432,433,OTHER,322.88
3407,2024-10-17,7022,1869.09,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",426,427,COSTCO,1869.09
3415,2024-10-15,7022,130.41,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",415,416,OTHER,130.41
3417,2024-10-11,7022,49.55,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",413,414,PHARMASAVE,49.55
3439,2024-10-07,7022,275.41,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",405,406,OTHER,275.41
3434,2024-10-07,7022,15.76,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",407,408,OTHER,15.76
3432,2024-10-07,7022,2083.23,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",408,409,COSTCO,2083.23
3430,2024-10-07,7022,932.33,MONCTONCASH&CARRY#301 MONCTON,"MONCTONCASH&CARRY#301 MONCTON, NB",406,407,WHOLESALE_CLUB,932.33
3458,2024-10-01,7022,355.22,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",395,396,OTHER,355.22
3467,2024-09-27,7022,56.33,FEDEX71871948 T1800 4633339,"FEDEX71871948 T1800 4633339, ON",388,389,OTHER,56.33
3473,2024-09-26,7022,1114.45,MONCTONCASH&CARRY#301 MONCTON,"MONCTONCASH&CARRY#301 MONCTON, NB",384,385,WHOLESALE_CLUB,1114.45
3471,2024-09-26,7022,1781.97,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",387,388,COSTCO,1781.97
3470,2024-09-26,7022,118.97,IFOODEQUIPMENT.CA MONCTON,"IFOODEQUIPMENT.CA MONCTON, NB",401,402,OTHER,118.97
3475,2024-09-24,7022,91.98,AMZN MKTP CA*FB7IO4H43,"AMZN Mktp CA*FB7IO4H43 WWW.AMAZON.CA, ON",380,381,AMAZON,91.98
3477,2024-09-23,7022,334.42,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",378,379,OTHER,334.42
3486,2024-09-16,7022,20.76,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",367,368,PHARMASAVE,20.76
3485,2024-09-16,7022,248.44,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",368,369,OTHER,248.44
3506,2024-09-10,7022,63.03,CHRISTMAS DISCOUNTERS AMHERST,"CHRISTMAS DISCOUNTERS AMHERST, NS",359,360,OTHER,63.03
3505,2024-09-10,7022,159.35,CHRISTMAS DISCOUNTERS AMHERST,"CHRISTMAS DISCOUNTERS AMHERST, NS",361,362,OTHER,159.35
3510,2024-09-09,7022,14.42,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",356,357,PHARMASAVE,14.42
3507,2024-09-09,7022,38.45,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",357,358,OTHER,38.45
3515,2024-09-06,7022,925.34,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",354,355,COSTCO,925.34
3519,2024-09-04,7022,336.4,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",350,351,OTHER,336.4
3524,2024-09-03,7022,236.21,YODECK.COM FLIPNODE SAN,"YODECK.COM FLIPNODE SAN FRANCISCO, CA 170.55 USD @ 1.384989",348,349,OTHER,236.21
3533,2024-08-29,7022,1390.42,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",340,341,COSTCO,1390.42
3551,2024-08-19,7022,1185.54,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",333,334,COSTCO,1185.54
3695,2024-05-09,7022,858.3,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",311,312,COSTCO,858.3
3751,2024-04-09,7022,14.46,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",287,288,PHARMASAVE,14.46
3749,2024-04-09,7022,168.62,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",288,289,OTHER,168.62
3756,2024-04-08,7022,107.35,WAL-MART #5789 AMHERST,"WAL-MART #5789 AMHERST, NS",282,283,WALMART,107.35
3755,2024-04-08,7022,203.78,WAL-MART #5789 AMHERST,"WAL-MART #5789 AMHERST, NS",285,286,WALMART,203.78
3757,2024-04-05,7022,19.95,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",283,284,OTHER,19.95
3762,2024-04-04,7022,811.89,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",280,281,COSTCO,811.89
3761,2024-04-04,7022,1251.73,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",279,280,COSTCO,1251.73
3795,2024-03-18,7022,80.86,THE WEBSTAURANT STORE,"THE WEBSTAURANT STORE LANCASTER, PA 58.38 USD @ 1.385063",259,260,OTHER,80.86
3797,2024-03-15,7022,45.95,AMHERST HOME HARDWARE,"AMHERST HOME HARDWARE AMHERST, NS",260,261,OTHER,45.95
3805,2024-03-14,7022,1612.59,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",255,256,COSTCO,1612.59
3802,2024-03-14,7022,632.49,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",256,257,COSTCO,632.49
3814,2024-03-06,7022,1238.76,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",242,243,COSTCO,1238.76
3839,2024-02-26,7022,98.97,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",226,227,OTHER,98.97
3852,2024-02-16,7022,2249.31,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",210,211,COSTCO,2249.31
3863,2024-02-12,7022,249.71,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",197,198,OTHER,249.71
3887,2024-01-25,7022,1489.8,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",179,180,COSTCO,1489.8
3899,2024-01-18,7022,39.99,AMZN MKTP CA*R88VF22F0,"AMZN Mktp CA*R88VF22F0 WWW.AMAZON.CA, ON",168,169,AMAZON,39.99
3898,2024-01-18,7022,84.97,AMZN MKTP CA*R825237E0,"AMZN Mktp CA*R825237E0 WWW.AMAZON.CA, ON",169,170,AMAZON,84.97
3922,2024-01-08,7022,74.14,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",157,158,PHARMASAVE,74.14
3919,2024-01-08,7022,1996.38,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",161,162,COSTCO,1996.38
3985,2023-12-06,7022,274.1,REGISTRY OF JOINT,"REGISTRY OF JOINT STOC HALIFAX, NS",139,140,GOV_NS,274.1
4000,2023-12-04,7022,11.48,AMAZON.CA*BS1MF1U93 AMAZON.CA,"Amazon.ca*BS1MF1U93 AMAZON.CA, ON",135,136,AMAZON,11.48
3992,2023-12-04,7022,1194.88,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",138,139,COSTCO,1194.88
4004,2023-11-30,7022,158.99,AMZN MKTP CA*IC29P9IQ3,"AMZN Mktp CA*IC29P9IQ3 WWW.AMAZON.CA, ON",134,135,AMAZON,158.99
4033,2023-11-20,7022,2129.38,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",128,129,COSTCO,2129.38
4047,2023-11-14,7022,1659.22,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",124,125,COSTCO,1659.22
4053,2023-11-03,7022,22.99,AMAZON.CA*TY9OO8VN3 AMAZON.CA,"Amazon.ca*TY9OO8VN3 AMAZON.CA, ON",112,113,AMAZON,22.99
4052,2023-11-03,7022,138.0,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",114,115,COSTCO,138.0
4051,2023-11-03,7022,1366.17,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",113,114,COSTCO,1366.17
4058,2023-10-30,7022,1977.98,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",108,109,COSTCO,1977.98
4082,2023-10-23,7022,62.54,COSTCO GAS W1345,"COSTCO GAS W1345 MONCTON, NB",90,91,PHARMASAVE,62.54
4081,2023-10-23,7022,1371.82,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",100,101,COSTCO,1371.82
4080,2023-10-23,7022,34.49,AMZN MKTP CA*TD0BW8O71,"AMZN Mktp CA*TD0BW8O71 WWW.AMAZON.CA, ON",98,99,AMAZON,34.49
4093,2023-10-18,7022,236.73,WAL-MART #5789 AMHERST,"WAL-MART #5789 AMHERST, NS",92,93,WALMART,236.73
4096,2023-10-16,7022,224.07,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",88,89,OTHER,224.07
4095,2023-10-16,7022,62.54,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",89,90,PHARMASAVE,62.54
4094,2023-10-16,7022,48.27,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",91,92,PHARMASAVE,48.27
4098,2023-10-11,7022,10.24,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",85,86,PHARMASAVE,10.24
4101,2023-10-10,7022,851.32,COSTCO WHOLESALE W551,"COSTCO WHOLESALE W551 DARTMOUTH, NS",80,81,COSTCO,851.32
4100,2023-10-10,7022,82.49,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",83,84,PHARMASAVE,82.49
4132,2023-09-27,7022,40.18,WAL-MART #5789 AMHERST,"WAL-MART #5789 AMHERST, NS",66,67,WALMART,40.18
4131,2023-09-27,7022,37.71,CDN TIRE STORE,"CDN TIRE STORE #00003 AMHERST, NS",69,70,OTHER,37.71
4133,2023-09-26,7022,56.35,DOLLARAMA # 209,"DOLLARAMA # 209 AMHERST, NS",68,69,DOLLARAMA,56.35
4149,2023-08-22,7022,1129.51,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",29,30,COSTCO,1129.51
3868,2024-02-05,8154,40.01,PROXI WEST AMHERST,"PROXI WEST AMHERST AMHERST, NS",190,191,OTHER,40.01
