fy,vendor_key,wave_bill_id,source_row,invoice_date,vendor_raw,invoice_number,net_amount,tax_amount,account_code,amount,method,profile_id
FY2025,WALMART,439,440,2024-10-24,Walmart - Bill,,9.98,1.50,2210,1.50,TAX_ITC,
FY2025,WALMART,439,440,2024-10-24,Walmart - Bill,,9.98,1.50,5039,5.99,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,439,440,2024-10-24,Walmart - Bill,,9.98,1.50,5204,0.50,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,439,440,2024-10-24,Walmart - Bill,,9.98,1.50,6300,1.00,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,439,440,2024-10-24,Walmart - Bill,,9.98,1.50,6600,2.49,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,487,488,2024-11-22,Walmart - Bill,,10.97,1.65,2210,1.65,TAX_ITC,
FY2025,WALMART,487,488,2024-11-22,Walmart - Bill,,10.97,1.65,5039,6.58,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,487,488,2024-11-22,Walmart - Bill,,10.97,1.65,5204,0.55,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,487,488,2024-11-22,Walmart - Bill,,10.97,1.65,6300,1.10,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,487,488,2024-11-22,Walmart - Bill,,10.97,1.65,6600,2.74,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,490,491,2024-11-23,Walmart - Bill,,163.86,15.00,2210,15.00,TAX_ITC,
FY2025,WALMART,490,491,2024-11-23,Walmart - Bill,,163.86,15.00,5039,98.32,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,490,491,2024-11-23,Walmart - Bill,,163.86,15.00,5204,8.19,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,490,491,2024-11-23,Walmart - Bill,,163.86,15.00,6300,16.39,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,490,491,2024-11-23,Walmart - Bill,,163.86,15.00,6600,40.96,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,492,493,2024-11-24,Walmart - Bill,,197.02,21.44,2210,21.44,TAX_ITC,
FY2025,WALMART,492,493,2024-11-24,Walmart - Bill,,197.02,21.44,5039,118.21,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,492,493,2024-11-24,Walmart - Bill,,197.02,21.44,5204,9.85,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,492,493,2024-11-24,Walmart - Bill,,197.02,21.44,6300,19.70,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,492,493,2024-11-24,Walmart - Bill,,197.02,21.44,6600,49.26,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,516,517,2024-12-05,Walmart - Bill,,13.98,2.10,2210,2.10,TAX_ITC,
FY2025,WALMART,516,517,2024-12-05,Walmart - Bill,,13.98,2.10,5039,8.39,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,516,517,2024-12-05,Walmart - Bill,,13.98,2.10,5204,0.70,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,516,517,2024-12-05,Walmart - Bill,,13.98,2.10,6300,1.40,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,516,517,2024-12-05,Walmart - Bill,,13.98,2.10,6600,3.49,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,551,552,2025-01-04,Walmart - Bill,,41.88,6.28,2210,6.28,TAX_ITC,
FY2025,WALMART,551,552,2025-01-04,Walmart - Bill,,41.88,6.28,5039,25.13,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,551,552,2025-01-04,Walmart - Bill,,41.88,6.28,5204,2.09,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,551,552,2025-01-04,Walmart - Bill,,41.88,6.28,6300,4.19,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,551,552,2025-01-04,Walmart - Bill,,41.88,6.28,6600,10.47,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,552,553,2025-01-04,Walmart - Bill,,76.22,0.62,2210,0.62,TAX_ITC,
FY2025,WALMART,552,553,2025-01-04,Walmart - Bill,,76.22,0.62,5039,45.73,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,552,553,2025-01-04,Walmart - Bill,,76.22,0.62,5204,3.81,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,552,553,2025-01-04,Walmart - Bill,,76.22,0.62,6300,7.62,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,552,553,2025-01-04,Walmart - Bill,,76.22,0.62,6600,19.06,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,570,571,2025-01-13,Walmart - Bill,,25.40,3.81,2210,3.81,TAX_ITC,
FY2025,WALMART,570,571,2025-01-13,Walmart - Bill,,25.40,3.81,5039,15.24,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,570,571,2025-01-13,Walmart - Bill,,25.40,3.81,5204,1.27,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,570,571,2025-01-13,Walmart - Bill,,25.40,3.81,6300,2.54,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,570,571,2025-01-13,Walmart - Bill,,25.40,3.81,6600,6.35,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,582,583,2025-01-18,Walmart - Bill,,28.00,0.00,5039,16.80,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,582,583,2025-01-18,Walmart - Bill,,28.00,0.00,5204,1.40,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,582,583,2025-01-18,Walmart - Bill,,28.00,0.00,6300,2.80,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,582,583,2025-01-18,Walmart - Bill,,28.00,0.00,6600,7.00,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,592,593,2025-01-26,Walmart - Bill,,185.03,0.00,5039,111.02,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,592,593,2025-01-26,Walmart - Bill,,185.03,0.00,5204,9.25,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,592,593,2025-01-26,Walmart - Bill,,185.03,0.00,6300,18.50,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,592,593,2025-01-26,Walmart - Bill,,185.03,0.00,6600,46.26,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,594,595,2025-01-28,Walmart - Bill,,21.01,0.00,5039,12.61,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,594,595,2025-01-28,Walmart - Bill,,21.01,0.00,5204,1.05,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,594,595,2025-01-28,Walmart - Bill,,21.01,0.00,6300,2.10,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,594,595,2025-01-28,Walmart - Bill,,21.01,0.00,6600,5.25,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,632,633,2025-02-26,Walmart - Bill,,15.75,6.22,2210,6.22,TAX_ITC,
FY2025,WALMART,632,633,2025-02-26,Walmart - Bill,,15.75,6.22,5039,9.45,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,632,633,2025-02-26,Walmart - Bill,,15.75,6.22,5204,0.79,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,632,633,2025-02-26,Walmart - Bill,,15.75,6.22,6300,1.57,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,632,633,2025-02-26,Walmart - Bill,,15.75,6.22,6600,3.94,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,634,635,2025-02-26,Walmart - Bill,,47.66,0.00,5039,28.60,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,634,635,2025-02-26,Walmart - Bill,,47.66,0.00,5204,2.38,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,634,635,2025-02-26,Walmart - Bill,,47.66,0.00,6300,4.77,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,634,635,2025-02-26,Walmart - Bill,,47.66,0.00,6600,11.91,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,670,671,2025-03-21,Walmart - Bill,,84.90,12.29,2210,12.29,TAX_ITC,
FY2025,WALMART,670,671,2025-03-21,Walmart - Bill,,84.90,12.29,5039,50.94,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,670,671,2025-03-21,Walmart - Bill,,84.90,12.29,5204,4.25,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,670,671,2025-03-21,Walmart - Bill,,84.90,12.29,6300,8.49,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,670,671,2025-03-21,Walmart - Bill,,84.90,12.29,6600,21.22,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,690,691,2025-04-22,Walmart - Bill,,24.41,3.42,2210,3.42,TAX_ITC,
FY2025,WALMART,690,691,2025-04-22,Walmart - Bill,,24.41,3.42,5039,14.65,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,690,691,2025-04-22,Walmart - Bill,,24.41,3.42,5204,1.22,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,690,691,2025-04-22,Walmart - Bill,,24.41,3.42,6300,2.44,VENDOR_PROFILE_ESTIMATE,34
FY2025,WALMART,690,691,2025-04-22,Walmart - Bill,,24.41,3.42,6600,6.10,VENDOR_PROFILE_ESTIMATE,34
